단어,불용어,dff
중상정도입니다.,,
만합니다,,
순살인데약간퍽퍽살느낌나서치킨자체로만보면강추는못할거같습니다만,,
"햇반,마요소스",,
기본으로주는구성은좋고,,
같이섞여나오는,,
돼지불고기도,,
맛있는편입니다.,,
단돼지불고기양많은건아님.,,
두세끼에걸쳐치밥반찬용으로먹기좋을거같습니다,,
☆☆☆☆☆☆☆☆☆☆,,
작았나,,
싶네요...너무,,
존맛탱??.,,
먹어보구는,,
별기대는,,
나은거같아요.,,
자자라긴,,
비벼먹으니,,
먹어보고싶다.,,
조금짭조름함,,
대채적으로,,
맛있음...,,
순싹함...,,
주셨나봐요ㅎㅎ,,
맛있었다.,,
시켜먹을것이다.,,
과자맛?도,,
땁짤,,
맛있습니다~열심히,,
상자사진만,,
남았네요~ㅎㅎ^^,,
넘나맛있게먹었어요,,
맙소사,,
느낌나서,,
30분인가,,
비싼데..,,
주문할게요ㅎㅎ,,
되어있어요~,,
이사하고서,,
발산등촌점,,
양적음..ㅠ,,
그렇고...,,
배달비까지,,
이마넌,,
훌쩍넘엇는데,,
비교해보세요..심하셔요,,
ㅋㅋ같은,,
퀄이..넘차이가커요,,
주문요청,,
안보시는듯..,,
요청햇는데,,
뜯어먹엇네여..,,
잘먹었어요^^!!,,
드셨네요,,
빨리오네요~~^^,,
주문해야한다길래,,
하나시켰는데,,
두통이,,
콜라부자됐습니다,,
양념이너무적어요..ㅜㅜ,,
있는데~,,
약간씩의,,
틀리네요.,,
무쳐주셨으면,,
들어갔으면,,
지점비교,,
필요!,,
이용하게,,
절임무,,
맛있네요..약간,,
매운듯했는데,,
적응되네요..^^,,
먹었는데?,,
맛있네요~굿~~,,
일찍오고요.,,
깜짝할새에,,
담주에도,,
남긴것처럼,,
왔네요…,,
전화할려다가,,
들어가도,,
"있습니다,메리크리스마스.",,
원없이,,
크리스마스되세요.,,
맛있음~~,,
먹어본중,,
최고맛있네요,,
맛이최고네,,
맛있어요맛있어요맛있어요맛있어요맛있어요맛있어요,,
먹을거라서,,
퍽퍽살이에요.,,
다리살이면,,
집어먹으면,,
물립니다.,,
권합니다.,,
라디오,,
때마침,,
있고~,,
덜어내고,,
대자까지,,
간장차킨과,,
안매우면서도,,
딱이었어요ㅡ,,
번창하세요ㅡ다음에,,
냼새도않나고,,
초딩아이도,,
저희애들보다,,
저희어무니가,,
맛있냐고하세요.,,
남은가루에,,
맛있답니다^^,,
맛나네요~~~~^^,,
놓을수가,,
눈치봤음ㅋㅋ,,
안먹는다고했다가요ㅋㅋㅋ,,
막판사진ㅋ,,
볼이,,
별로였어용,,
찹쌀튀김,,
느낌…?,,
호랑이해서,,
뭔가했더니,,
ㅎㅎ진짜,,
갈릭후레이크,,
자주시켜먹을거요,,
간지죠^^,,
"맛있어요.진짜로요,",,
다네요ㅠ,,
시켜봐야겠어요...,,
맛있는치킨이에요,,
베송도빠르고요,,
:-)♡,,
할거에용~~~,,
맛있얶어요,,
시켜먹을게요요용,,
맛있습니다.호랑이치킨,,
먹었네요~감사합니다,,
반걸림,,
"먹지도못했고,",,
주문수락만하고,,
2시간이지나도,,
배달은안오고,,
머하자는겁니까대체,,
해도안받고,,
그런식으로하지마세요,,
어이없네,,
2시간동안,,
튀기나,,
짠맛보다,,
강한거,,
포크필요하다고,,
안챙겨주셨네여,,
맛있너요.,,
시켜먹을려구요.,,
감자튀김인,,
먹으려고했는게,,
나무조각,,
있더군요,,
탄,,
자세히,,
소비자들도,,
생길까봐,,
알려주시면,,
"달달,바삭하니",,
맛있네요..닭의,,
적당하고요..받자마자,,
못올려,,
아쉽습니다~~^^,,
"맛,,,,,,,,",,
절어진,,
맛도좋고배달도좋은데,,
기본무를,,
안준다니,,
아쉬움×500000,,
하셨어요??,,
친절하고-!,,
"아,,",,
깜빡ㅠ,,
먹느라;;,,
썼다는,,
안보나봐요,,
뒤까지,,
부탁한다고,,
보내버렷네요,,
기다리셨구요,,
적구요,,
안시킬것같네요,,
나온거처럼,,
갖다주시고,,
뜨끈뜨끈해서인지,,
맛잇어여..처음,,
좋드라드요,,
무료,,
취향이예요,,
맛나오ㅡ~~~잘먹을께요^;^,,
아이들니,,
고추치킨!!!넘,,
총알배송이네요,,
지난달에도,,
퍽퍽살로만,,
이루어진,,
퍽팍한,,
각각..,,
먹는다네요..,,
문의사항있어,,
많이주고,,
맛있네요??,,
마싯어용,,
젛아용,,
치즈볼서비스고,,
중독성잇음,,
굳굳이에요,,
맛있어요ㅡ~~~!!!!,,
야무지네요,,
빨라용ㅎㅎ,,
잘메었어요~~~,,
뜨끈뜨근하네요,,
순삭~!,,
좋으하는데,,
좋는,,
메뉴인거,,
Goodddodododododo,,
감사합니다~!!!!,,
어머니댁,,
80대,,
좋았어요??,,
아니여..,,
별미입니다~,,
맛을봐서,,
좀덜,,
검증된,,
주문했어요~~!!????,,
"우앗,,바삭하고",,
방문포장해서,,
먹었는대요!!!,,
대만족이라,,
먹느라고....,,
ㅜㅜㅜㅜ순살치킨양이,,
싸왔어요,,
ㅋㅋㅋㅋㅋ이거라도,,
멋은,,
배고파서?,,
식용유,,
괜찮은듯,,
주문하네요,,
세개라서,,
비싼편인거같습니다.,,
맛있어요??????,,
치이킨,,
단골인듯ㅋ,,
명성,,
그대로입니다!,,
안드셔봤으면,,
질릴까??,,
행복했어요?????♀?,,
찍어먹으면.,,
먹ㄱ?있어요,,
맛있습니다…!!바삭의,,
좋아요잘받ㅇㄱㆍㅎ어ㅡ,,
좋군요.,,
하하앗치킨은,,
매일먹고싶데요,,
매력있네요~!!^^,,
원탑입니다,,
맛나데요,,
잘어울리는것,,
반반해서,,
마늘+신라면스프??맛이,,
같더라구요!,,
장멍넛어요,,
태권도,,
승급심사,,
말하라니,,
말해서,,
와아아,,
스,,
놀랬어요!!,,
맛있구~,,
늦은밤에,,
배달주문했어요.맛나게,,
15분일찍,,
맛있어요????,,
이런맛이었네요!!,,
배달문제,,
인건지,,
물기?,,
눅눅해졌는데도,,
배달되면,,
와아,,
맛있겠죠?,,
천상계의,,
맛이랄까,,
소울푸드예요,,
아매워소스까지,,
30분늦게,,
최고에요ㅎㅎ,,
넘나맛있네용,,
너무맛있습니다아,,
들립니다,,
먹게될것같습니다.,,
진리죠.,,
달콤짭짤~~^^,,
이집꺼만,,
잇몸이ㅠ,,
맛있어요!!??,,
니키던,,
시켜먹어보는건데,,
후라이드치킨에다가,,
빵가루를,,
붙여놓은맛!,,
재주문할게용,,
크크크치킨먹고싶엇는데,,
넘맛있어요~!!,,
바뀔것같아요..,,
기대했나봐요.,,
보통이었음.,,
추가하세요,,
존맛쓰,,
다른데서도,,
최애예요,,
잡수시고,,
익었다고,,
또또,,
주문예정입니다,,
남았는지,,
하네요!!^^,,
하얀가루가,,
확인하셔야,,
할꺼,,
간지치킨때문에,,
애용자,,
됐었는데,,
분필먹는거,,
빠삭하고맛있어요,,
옥수수소스가,,
찐...!,,
언제부터이가,,
타버린,,
마요네띡어먹으니,,
바싹하네용★★★★★,,
영접인데,,
되죠,,
매장방운으로,,
안내하는것이,,
반했다고…,,
싶데요^^,,
감사합니다*^^*,,
바썩하고,,
후라이드!!,,
굿굿~~,,
오래기다렷지만,,
간장살짝해서,,
똥집찍어먹으니까,,
꿀맛?,,
아쉽네요^^,,
머겄습니다~~,,
먹었습니다??????,,
만족스럽네요~^^,,
치킨값,,
올라가고,,
못참았네요.,,
비싸긴했지만,,
잘맞네요.,,
뻑뻑했어요.,,
먹어볼게요.,,
라면이,,
주가,,
사실은,,
치킨이었다는!!,,
크크크불닭이,,
어울리잖아~!~!~!~!,,
바삭치킨과,,
매콤라면,,
시켜봐요,,
죽인다,,
맛저,,
핵꿀맛!,,
맛잇어요~~,,
짱..,,
예상배달시간보단,,
빨리왔네여,,
맛있소용?~,,
주문할게요??????????????????????,,
더매운고추맛은,,
뿌려달라했는데,,
뽀시래기,,
많이뿌려주셔서,,
맛.배달,,
속상했지만,,
@@@@@@@,,
기본소스가,,
필수인거,,
같네여,,
진짜바삭한크크크치킨입니다,,
간장+누룽지의,,
조합입니다!!,,
왔습니다....,,
잘먹었습니다!!!!!!!,,
배달도생각보다빠르게왔구요,,
치킨도바삭하니,,
맛있게잘먹어요^^,,
꿀맛??,,
치킨어서,,
짧고,,
가느다란,,
전에요...,,
가늘고,,
머리카락이었지만,,
보진,,
입속에서,,
머리카락을,,
느끼고,,
뱉었기,,
의심하고,,
않았거든요,,
머리카락은,,
집어들었는데,,
뒤쪽에,,
붙어있었어요ㅜㅜ,,
사장님만,,
기능이,,
이렇게라도,,
같아서요,,
맛있어요!!배달도,,
진짜많음,,
곳이에요!!,,
한시간넘게걸려서,,
맛은바삭하니좋았습니다,,
계단,,
누구냐,,
물어도,,
대문,,
활짝,,
열어놓고,,
가시네요.,,
가실,,
닫아달라고,,
기재했는데요.,,
크크크치킨…옆에서,,
꼬드겨서,,
사랑해요.,,
호랑이능,,
최고인지라,,
넘진,,
6세,,
배.민,,
땡겨요,,
주문채널,,
돌아가며,,
주문해먹는데,,
만족합니당♡,,
최고에요!!!!!,,
먹는느낌?,,
피자맛,,
치즈볼이였어요!,,
대.대.대만족,,
이었어요.,,
어울렸고요.,,
맛있죠ㅡ,,
먹었어요ㅎ,,
2벜째,,
조온맛탱,,
까졌어요...,,
잇몸도,,
아퍼요...,,
시켜요...,,
끊을수,,
없서,,
맛있워요오오오오오오,,
인터넷,,
사먹어,,
하나임,,
시킬듯.,,
귀찮지만,,
리뷰쓸만큼,,
메뉴임.,,
먹어보기,,
바람.,,
바삭하니맛있게,,
배달이지연되서,,
좀아쉽습니다,,
잘먹엇어요!^^,,
근본,,
넓어져서,,
작아보였고,,
축구땜에,,
적은느낌이었지만,,
카타르,,
출전이라,,
치킨파티하려고,,
"된데다가,",,
40분가량,,
대박나세요♡,,
안붙음ㅋㅋ,,
매콤!,,
아쉬웠어용~,,
배송이엄청빠르네요,,
치킨도맛나고,,
오랜만인것,,
죽이네요,,
안나왔지만,,
기름진거먹는날이라,,
무지매운데,,
중독성?,,
주문할거같은,,
느낌이있어요,,
아빠랑먹을땐,,
애들만,,
달콤양념이랑,,
쨥잘구리,,
해가지고,,
넘맛잇었습니다,,
이집추천,,
와오,,
넘맛나요.,,
피자치즈볼(?)도,,
;);),,
더운날씨에,,
일하시느라,,
바랄께요~~,,
"먹어봤은데,",,
"사장님,",,
수고하세요!,,
방송ppl,,
치킨만먹다가,,
치킨시켜봤습니다,,
식구들만족하며,,
최공~,,
최강자!!,,
빠른배송까지,,
덮밥으로,,
저녁한끼,,
해결했네요,,
정말맛있게먹었습니다,,
바삭바삭~맛있어요,,
먹다찍어버렸네용,,
^_ㅠ)b,,
깔았어용,,
치밥용,,
오네요ㅎㅎ,,
맛있어용ㅎㅎㅎㅎ,,
만족입니댱,,
맛있는듯(?),,
안먹어요.,,
반반이랑,,
정육이,,
6조각이,,
허벅지,,
잘려있고,,
이상해서...,,
이런게???,,
맛있다는거죠?,,
시킬게요.ㅎ,,
맛있긴한데~소스가,,
뻣뻣합니다.,,
변했네요.ㅠㅠㅠ,,
않아서요,,
봉천점이에용!!,,
"신속배달,",,
"만족한맛,",,
오랜만이었어요~~,,
입아픕니다:),,
그렇다쳐서,,
신경써주신다고,,
30-40%는,,
크네요.,,
일까요??,,
빠지지,,
튀겨주시지,,
말라는,,
해주서서,,
이라면,,
할수,,
간지치킨ㅠㅠ,,
맛있네용ㅎㅎ,,
존맛탱입니다!,,
단맵,,
먹습니다.ㅎ,,
다른곳껀,,
60계서,,
오늘도.맛있게,,
깨끗하네요~^^,,
했어요!??,,
시켜먹을게용><,,
매워졌는데,,
진리에요~~,,
핫하다,,
모르겠어서,,
캔음료수,,
제공되네요,,
먹는거지,,
시럽은,,
찍어드시면,,
맛인가,,
신기신기,,
주문하고퇴근후집에오니,,
버얼써,,
아고,,
맛도못보구끝난,,
주셔서ㅠㅠ,,
봉천점이에용,,
굿굿!!!!,,
지워서,,
아쉬워여.,,
많아서...,,
화요일,,
어린아이먹기,,
저희식구,,
좋았어요.!,,
맟추어,,
잘배달해,,
덜짜면,,
좋것,,
많이왓네요,,
튀김가루의,,
고추가루까지,,
있어요.연말이라,,
맞았고,,
구성이면,,
와...너무너무,,
먹느라...사진이,,
피자맛이나고,,
캄사합니다,,
먹는편은,,
매콤함이라,,
40분정도만에,,
배달받은거같은데..,,
늦겠다고,,
전화주신시간이,,
도착했어야할,,
시간이라..,,
새로주문해도,,
기다려야하고,,
기다리겠다고는,,
서비스라도,,
넣어주셨음,,
풀렸을텐데,,
배송문제만,,
없다면,,
고추치킨재구매의사는,,
맛있었습니다!그리고,,
??????,,
깜빡했었네용~~,,
봉천점이에용!!!,,
굿굿입니당♡♡,,
맛있었습니다.??,,
맛나??,,
추운겨울철,,
방에서,,
치킨한마리의,,
행복~♡,,
어린아이도,,
봉천이에용~~~,,
있어용!!!,,
"주문해봤어요,",,
튀김반죽,,
양념(맵지않아,,
아이가잘먹음),,
맛있었어요!!ㅎㅎㅎㅎ,,
마싰어용ㅇ,,
간지치킨존맛탱,,
잘머거씀니당,,
역시호랑이치킨이죠,,
기대보다는...9담엔,,
먹어볼게요~~,,
치즈볼!!!!!!!,,
맛집이네요~!!,,
좋네요..잘,,
초3,,
시캬먹네요.,,
먹네오,,
하이라이트는,,
감자입니다.ㅋ,,
멱는,,
최고닭,,
ㅎㅎㅎ치즈볼도,,
강추네요~~~!!!,,
먹어보려고요~,,
대박나세요~~~,,
매콤달콤해서,,
먾고,,
멍두없고,,
맛두좋아요,,
서비스로주신것도,,
보내주신다는,,
좋아요^^번창하세요~~,,
잘먹었어요.깨끗한,,
그런가..바삭한,,
좋았답니다~^^,,
이벤트선물도,,
감사요♡,,
정말!,,
시킬꺼예요!,,
찍었습니다ㅠㅠ,,
매운쏘스라우먹어야갰어요,,
순삭했네요~~,,
먹는곳인데,,
정말바삭해요,,
더운날씨에도,,
많으세요,,
잘먹겠습니다????,,
아니치킨에무가없네,,
별도로시켜야한다니,,
이게먼어이없는경우,,
어이없어서내가멀시킨지도모르고먹다가,,
음?간지?이게양념인가?간장이아니고?,,
첨시켜먹어서잘모르는데,,
이것도잘못갖다준듯?다신60계먹을일은없을듯,,
고추.,,
매콤해진,,
치토스버전??,,
맛있었어여!!,,
"호랑이치킨,",,
배달시간에,,
"메뉴였는데,",,
야근하다,,
맛잇어오,,
안딱딱하구,,
말랑해서,,
(따로,,
넣어주시는거,,
놓으면,,
환경보호에,,
같습니당??,,
못써서,,
지난번에도,,
궁금한테,,
해주실,,
없을까요….??,,
사진이라...,,
못참지,,
딱적당히,,
"있었고,",,
양념치킨과는또다른,,
았있고,,
빠릅니당,,
되려,,
선호하지,,
사랑해요,,
무야호!,,
두번째주문,,
별한개뺐어요,,
그냥보통이네요,,
"어린이날,",,
못찍었어여ㅠㅠ,,
작네요ㅠ,,
셋이,,
다먹었어여...,,
그냥그렇네요ㅠ,,
또주문할께요,,
찍었네요^^;;;;,,
참고하시기,,
힐링됬습니다!,,
모자른,,
반반이건,,
달달하가가,,
마무리,,
되더라구요,,
없다시피해서,,
좋네요!!@@,,
만족했어요!!!,,
받았습니다!ㅎㅎ,,
추운날씨,,
따뜻한치킨,,
닭도리탕,,
찜닭먹는,,
느낌이었는데...그래도,,
닭냄새나,,
기름쩌든냄새같은거,,
전~혀,,
많이짜지않게,,
잘되어있어서,,
...만족스럽게,,
시켜먹어볼게요!,,
매콤함에,,
단짠까지,,
가더라구요ㅎㅎ,,
베스트길래,,
시켜봤더니,,
매콤함보다는,,
짠맛밖에,,
"실망했습니당,,",,
느낌이에요ㅠㅠ,,
만족스러웠습니다~~!,,
사라졌어요.,,
되려나봐요,,
처음시켜보는,,
맵진않네용,,
주문해야될,,
먹어서..,,
빈박스라도,,
찍어봤습니다~,,
사람들에게,,
ㅋㅋ양이,,
완전!!,,
눅눅하더라도,,
안되어있는지,,
"밍밍하고,,",,
있다보니까,,
비린향도,,
"그랬네요,,",,
아쉽습니다!,,
꿀꿀꿀꿀꿀,,
맛있어요????????????,,
좋구요ㅎㅎ,,
맛있음.하지만,,
닭고기반,,
감자반.,,
느끼함.해서,,
두개시켜도,,
식사는,,
안되네요.간식용.,,
늘~,,
친절하셨었는데~,,
만족합니다..^^,,
난뒤라,,
튀긴치킨에,,
짜장소스인지알고시켯는데,,
튀김옷이없어서,,
시킬건데,,
사진없네,,
더매윤고추치킨,,
최애픽이에요,,
"맛있어요,,,,",,
˚?*?,,
"맛있습니댜,,,,,",,
주문마르고,,
봤을땐,,
놀랬어요..,,
온걸까..란,,
맛있었어료~,,
나두고,,
첨부해요,,
대박입니다^^,,
잘먹었어용ㅎㅎㅎㅎㅎㅎ,,
마앗이가아아있스무니다아,,
양념다맛있어요~~^^~~~,,
맛있게잘먹었습니다~~^^소스가너무맛있어요~,,
배달시켜먹었는데,,
곳이어서,,
믿고주문합니다,,
맛잇었아요,,
후아아아,,
존맛텡...,,
쪼곰만,,
튀겨주시묜,,
가테여..,,
티겨져서,,
왓서요..,,
말씀하시는,,
웨지감자라도,,
드릴까요?,,
대답하시고,,
하러,,
가져가신건가요??,,
이런것도,,
재주문입니다!,,
최애메뉴임....!.!.!.,,
식은다음이,,
처음ㅠㅠ..,,
또먹고싶다ㅠㅠㅠ,,
것중에,,
늘어나는,,
처음이었어요,,
양.,,
금방질리는제가,,
1마리먹는동안,,
안질렸습니다,,
한번드셔보십숑,,
후회없을겁니다,,
고추윙봉에,,
많이많이가,,
불만이네요,,
항상먹어도질리지않는맛!.강추!!!^^,,
100000점!!!!!!!!!,,
시킨건데도,,
진짜너무맛있었음!!!!!!!,,
친절하셨어요!!,,
가게입니다,,
친절~,,
적어보얐늠데,,
내스탈,,
술안주러,,
좋을듯한,,
메뉴예여,,
먹어봤는데..이영자,,
욕,,
말았어요.치즈볼은,,
닭목은,,
사진입니다,,
남이,,
뜯게,,
테이프라도,,
짜내여,,
맛나겠다란,,
생각으로,,
그전부터,,
주문해봐야지,,
오늘와서,,
보았고,,
고추간지반반으로,,
고추들어간,,
들어가있는거도,,
"스타일에요,,,",,
시켜먹을께유!,,
관악에,,
시켯네요,,
광명보다는,,
늦은것같아요,,
알림오기,,
치즈볼~,,
3인,,
모자라요~,,
gggggggggg,,
매운고추치킨&간지치킨,,
최고~^,,
진립니다,,
바싹치킨은,,
퍽퍽하다는것!,,
찍어드세여,,
간지순살~~,,
6초치킨땜에,,
쿤타킨테됐어요,,
ㅠㅋ,,
식어서왔네요.,,
차가웠어요,,
너무하신듯요ㅠ2시30분,,
실망이네요~~배달실수에,,
좋았으면,,
깨끗해요!!,,
맛은최고!!!!군데,,
적은거같아요ㅠ,,
받은거만,,
배달이라더니,,
안받음,,
뭔가요??,,
80분이상,,
보람이있네요ㅎㅎ아쉬운건,,
너무큰거같네요ㅡㅡㅎㅎ,,
딱딱한가요??,,
달라붙고,,
불편하더라구요,,
윙봉품질이,,
피자핫이랑,,
비슷해요.(,,
윙제품보단,,
떨어짐,,
바삭이는,,
쫀득해요,,
해줘서,,
감사합니다^*^,,
갓튀긴듯,,
간지치킨보다.,,
훨씬맛있어요.,,
할수없는,,
배달된다기에,,
인정!!,,
리플에,,
이리더니,,
준문하고,,
ㅠ..ㅠ,,
시킬래요~,,
너무없다,,
뼈바르고나니,,
껍질만먹은기분,,
별로에여,,
맞아요...,,
꺼가,,
뭔진,,
안내되는,,
시간에서,,
+30분,,
생각하시면,,
됩니당,,
어른들이랑먹기에좋아요!,,
매콤알싸하게,,
피로를,,
풀었습니다.,,
핫치킨은,,
어마어마하네요.^^,,
반창하세요!,,
1.5리터까지,,
맛있걱잘먹을게요,,
ddddddddddd,,
매콤밖에,,
젛은,,
양념이에요,,
미쳐,,
죤맛탱구리!!,,
"맛이라서,",,
좋습니다!^^,,
이곳에서만!,,
맛있어욥!!바삭바삭!,,
엘베,,
고장으로,,
고생을,,
rrrrrrrrrr,,
좋아하네요~~,,
프라이드도,,
바석허니,,
닭다리6개를,,
주문했는데...닭봉이왔네용ㅎ,,
크크크시켜서,,
닭다리세트로,,
주문확인한번,,
부탁드려요~그래도,,
맵기고요,,
꺼지,,
당황스럽네요…차가운,,
되다니~충격입니다…요기요에서,,
못시킬둣하네요,,
맛나고돟아요,,
치킨받은건,,
난생처음.,,
늦을거라는,,
안내없음.,,
조리완료는,,
일찍뜬거보니,,
늦은거라생각되는데,,
늦을거먼,,
조리시간을,,
조절하던가,,
배차가되면,,
준비해야지,,
보내나?,,
치킨받아본건,,
처음이네,,
사진깜빡했어요!!,,
시켜요~^^♡♡♡,,
최공??,,
아주망싱서요,,
생일때,,
쿠폰받아서,,
치킨은계속,,
이것만ㅅㅣ켜먹어요,,
대박...맛잏습니다!!,,
먹어봐요.,,
후레이크는,,
다른지점들보다,,
독보적으로,,
문자안주고감,,
흑흑30분정도,,
차게식고,,
소스반,,
음식반,,
사랑합니다♡,,
꼭!,,
꼬옥-,,
일하고,,
자주먹습니덩>_<,,
먹었믄데,,
존맛태애애앵ㅋㅋㅋㅋ,,
개쩝니다..멈출수없는,,
양념치킨처럼,,
갓…,,
먹을예정입니다…,,
날씨가추워서인지,,
맛이있네요,,
잘먹었습니다~~~-,,
받았습니다~~~~,,
맛있으면...,,
힙합을,,
춰...,,
마늘향,,
싸악,,
단짠인,,
마요네즈까지,,
ㅎㅡㅎ,,
물건좋아요,,
알겠습니다,,
김가루,,
과하지도,,
쫀득하네여,,
바르고,,
긴가민가했는데,,
단짠에다가,,
맛있어요~소스3개가,,
강추합니다!!!,,
이야기하는,,
알고나니,,
안먹어요~,,
"맛굿,,ㅋ.",,
빨랐습니다ㅎㅎ,,
과자먹는거같아요~,,
안그랬던거,,
왜럴까요?깨끗한,,
맞나요ㅡㅠ,,
먹었습니다.60계는,,
이지점이,,
최고임!,,
끝판왕입니다,,
남겼음요,,
보는거보다,,
놋띡어요,,
가득있었는데,,
양이..전보다,,
작아진거같아요ㅠ튀김,,
쪼가리들도,,
느끼하대요,,
갈리는듯,,
튀긴거여서,,
불닭볶음면하구,,
먹었습니다.배송은,,
했지만요ㅎ,,
거리도,,
배달출발하고,,
이해안가요.,,
돈미새인가봐요,,
ㅋ^^,,
필요없습니당,,
맛있자야,,
먹었습니다ㅇㅇ,,
먹어봤을,,
안먹었었는데,,
시켜먹어보니깐,,
맛있어요????,,
잘해요!!,,
진짜딘짜,,
맛있더라구요ㅋㅋㅋ,,
교정장치가,,
떨어져서..이,,
조심하셔야해요..!,,
대구식,,
뿌려져있어서,,
대구식으로,,
일품이에요,,
고추장+불맛인데,,
단골집이에요,,
치킨~~~,,
크크크한다는걸,,
더맛있다고,,
순삭했어요ㅜㅜ,,
크크사진,,
주문잘못하고,,
개꿀맛!!!,,
초강추,,
후라이드두,,
407호인데,,
402호에,,
쓰신것,,
쫀득치즈볼이,,
ㅋㅋㅋ순살치킨은,,
편했고.,,
양념소스들도,,
튀김같은,,
맛있었어요!!!!!!!,,
기가막힌조합,,
혼자먹긴,,
둘이먹긴아쉬운양,,
정국님이,,
라이브,,
주문하였습니다,,
선택이었던거,,
짐짜,,
맛도있음,,
짱~^^,,
썰려서,,
먹었는데요~어찌나,,
독특하면서,,
맛있었던지,,
해버렸네요~~~오늘도,,
못잊어서,,
왔습니다~~~넘,,
맛있어요^^있다가,,
하겠습니다^^,,
바삭하네요~~~^^,,
강추합니다^^;;;,,
바식바삭해서,,
아내도,,
고객요청에,,
귀기울이는,,
자세로,,
판매하시는,,
을,,
바램입니다.,,
파세요????,,
10살짜리,,
하다면서,,
늦었네요ㅠㅠ,,
시즈닝인가,,
슴슴했어요,,
약하시면,,
조심히,,
맛있엇는데,,
전용소스는,,
힘들었던,,
생선회같은,,
나는지,,
고수라도,,
들었나...암튼,,
맞지는,,
제외,,
매우매우맛있습니다...!!!!!!!!????,,
이브렌드는,,
이쁘고,,
맜있었어요,,
원탑,,
잘목었습니더,,
필요없고,,
같이먹으려,,
않았구,,
식사였습니다,,
찾아보기가,,
힘드네요.,,
느끼하고요,,
단짠60계,,
생각하신분은,,
찐하고,,
넉넉하게라고,,
요청하시길,,
맛있다고하내요.,,
잘먹었어요????????,,
육육은..광고의,,
못미침...ㅠㅠ,,
먹던걸먹어야...ㅠㅠ,,
최고..!,,
호랑이에,,
육육치킨.새로운,,
호랑이??,,
막는,,
빼주세요ㅠㅠㅠㅠ..,,
신이다...,,
쌀밥이,,
생각나네여,,
많은것,,
같은느낌,,
존맛이였어요,,
쫀깃하니,,
ㅎㅎ그게쪼금,,
포장해주시고,,
맛있었어요!~,,
60계처음먹어봅니다~담엔짜장치킨도먹어볼께용!,,
맛있었어요~~~??,,
맛있어...??,,
어쩔수없이..1키로,,
쪄야겠네...할수없지..,,
맛이습니다,,
ㅎㅇㅎ,,
늦었네요^^,,
시간약속안지키는건,,
못참아요,,
도전해봐야겠네요!,,
오리엔탈,,
조합입니다~!,,
안질려요!,,
좋은기름에,,
뛰긴게,,
반질반질한게,,
딱보이네요.,,
반반시켰는데~,,
딱좋네요.,,
제가초딩입맛이라ㅎㅎ,,
맛있었음ㅋㅋ,,
뭔들,,
맛있죠ㅎㅎ60계,,
첨시켰는데요.,,
잘먹었습니다.또시킬께요,,
미니핫팩1개,,
잘쓸게요.,,
먹었습니다요,,
잘멋럿습니다,,
앙증맞은,,
사이즈에,,
그림도,,
책상에,,
색칠하기,,
교대생),,
감사드러요!!,,
처음먹어봤는대,,
역대급이네요,,
잘쓰겠습니다~,,
와..감자랑,,
좋아용ㅠㅠㅠ,,
먹었습니다~~^,,
처음시켜봣눈데,,
셋다넘,,
안왔어요ㅠㅠㅠ치킨은,,
무지성으로,,
뭔지모르겠지만,,
거야~,,
이브인데도,,
먹성로,,
끝냈어요,,
무얼,,
오긴왔는데,,
치킨소스로는,,
부족할거,,
마음은,,
1점인데,,
양심상,,
3점이요.,,
오묘한,,
완추!,,
튀겨주신것,,
맛있습니당ㅎㅎ,,
윙봉다리만되서,,
느껴졌는지,,
비오는날도,,
기본구성에,,
콜라가있는지,,
같이오네여,,
반쯤먹다가,,
생크림이있어서,,
찍어먹었는데,,
중화되서,,
집어먹었네여ㅎㅎ마요네즈는,,
담에도전하기루,,
있엇으면,,
같앗어요,,
집중하느라,,
집합으로,,
맛있습니당.,,
꿀까지,,
강정시대는,,
장스치킨이랑,,
리뷰기간,,
못쓴,,
탕수6은,,
탕수인데,,
신기했고,,
뭔지모르겠네요,,
받는순간,,
개봉하니,,
다른업계,,
세지안아요,,
강합니다,,
매운맛이예요,,
"금요일,토요일",,
먹었어욯ㅎ,,
일요일은,,
먹으려고요!,,
추천!!!!!!,,
시나몬향이,,
바베큐소스같은느낌.,,
표시되어있더니,,
우유나,,
들이키게되는,,
매운맛입니다.,,
콘마요샐러드가,,
메뉴에요.양도,,
14살,,
발명쓰X기걸,,
처음먹어보는맛인데,,
너무맛있음..,,
잘어울리다니,,
금방물리는데,,
1인1닭가능했을듯.,,
불닭볶X면,,
우유없으면,,
못먹는사람인데,,
보통맛인데,,
매콤한맛이었음.,,
중간매운맛.,,
갈아서,,
넣은것같은데,,
안씹혀서,,
비닐이나,,
파,,
들은줄,,
알았음..,,
짜장치킨은종종시켜먹을듯,,
맛나요!!!ㅎㅎㅎㅎㅎ,,
만족합니당!,,
뿌링클인데,,
토실토실해서,,
교촌처럼,,
튀긴거같아요,,
오버되서,,
기사분도,,
기분좋게먹었습니다,,
먹을만했어요~,,
최고에요!!!!!!!!,,
고츠,,
먹는곳입니다.,,
사장님바뀌었나요?ㅜ,,
밥을부르는,,
최고에요~**제,,
입맛이좀,,
까다롭다는~~짱~??,,
좋았구요!,,
겉바속촉이고,,
"감자튀김,",,
오더군요,,
오오...,,
앖었는데,,
오옹..,,
