단어,불용어,dff
최고!!,,
친절하셔서,,
조각이,,
절대,,
하셔서,,
받자마자,,
주문을,,
걍,,
걸,,
받고,,
요청사항에,,
많아요.,,
다리가,,
한번은,,
지난번에,,
교촌,,
깨끗해서,,
문,,
조금더,,
매일,,
맛도좋고,,
떡볶이가,,
먹을때,,
맛있어요~!!,,
옛날,,
저도,,
좋음,,
궁금했는데,,
후,,
60계로,,
브랜드,,
배달로,,
작아서,,
90분,,
실망,,
않게,,
똥집,,
맛있습니다!!,,
집에서,,
허겁지겁,,
이유가,,
주말이라,,
감자튀김이,,
메뉴도,,
최고예요,,
바삭하네요,,
작고,,
꿀맛,,
다먹고,,
맛있어요~!,,
굳굳,,
순삭했어요,,
동네,,
맘에,,
시켜도,,
다르게,,
눅눅해서,,
정확히,,
부모님도,,
모르겠지만,,
요기요에서,,
없지만,,
물론,,
가격대비,,
배달을,,
박스가,,
맛있어요~~^^,,
마늘,,
맛!,,
어떻게,,
강추합니다,,
집에,,
아님,,
갓,,
둘이서,,
너무나,,
좋아하시는,,
시켰더니,,
좋아요~~,,
있었는데,,
크크크치킨은,,
금요일,,
무,,
3가지,,
바사삭,,
먹을수록,,
그것도,,
전화로,,
괜찮은데,,
얼마나,,
아이,,
싶다고,,
먹었더니,,
바빠서,,
싶어요,,
받은,,
비오는,,
겉바속촉,,
분이,,
중독성,,
같고,,
시간은,,
좋아요^^,,
애들도,,
후라이드만,,
차이가,,
가성비,,
빼고,,
바싹,,
좋아하고,,
60계치킨을,,
깔끔하니,,
하니,,
크게,,
이영자,,
의사,,
고소한,,
주말,,
간장치킨,,
가격에,,
일반,,
대신,,
맛나네요.,,
도착해서,,
"시켰는데,",,
기분좋게,,
맛있다는,,
같아요!!,,
부드러워서,,
다양하게,,
잘먹었습니당,,
최고네요,,
치킨입니다.,,
벌써,,
하도,,
매콤하게,,
땐,,
좋겠네요,,
같네요.,,
맛인데,,
전부,,
바삭함은,,
빠삭하고,,
땡기는,,
잘먹엇습니다,,
마요네즈랑,,
들어,,
부모님,,
아닌데,,
너무맛있게,,
큰,,
먹어봤어요,,
깜빡하고,,
이것도,,
내가,,
겉은,,
주문하는,,
더매운,,
가격도,,
마음에,,
치킨인데,,
받았습니다.,,
퍽퍽하고,,
맛있게먹었어요,,
친구가,,
간지도,,
오,,
첨먹어봤는데,,
점점,,
분들은,,
있었어요,,
평소,,
60계를,,
다음,,
시켯는데,,
적어요,,
아니면,,
먹어보는,,
심지어,,
괜찮습니다,,
먹었어요..,,
맛있구요,,
신랑이,,
맛있었어요^^,,
봉,,
지나서,,
추천으로,,
달라서,,
그런가,,
맛있어요ㅠㅠ,,
사장님도,,
잘먹었습니다~^^,,
기본으로,,
양념치킨은,,
잘먹었네요,,
맛있긴,,
추천합니다.,,
있었어요.,,
달아요,,
좋았고,,
처음시켰는데,,
배달시간은,,
콤보,,
아이와,,
넘어서,,
넉넉하고,,
있었으면,,
번창하세요!,,
느끼하지않고,,
바삭함,,
bb,,
좋게,,
그동안,,
느끼해서,,
60계에서,,
보내주셔서,,
이상,,
기사님도,,
자체가,,
전화를,,
타,,
번창하세요~,,
콜라가,,
그리,,
맛입니다,,
다른지점보다,,
싶은,,
먹었어용,,
맛있어요...,,
아이는,,
맛이네요.,,
잘먹어서,,
생각,,
주문인데,,
ㅡㅡ,,
기대가,,
벨,,
가족,,
후라이드와,,
최고입니다.,,
짜지도,,
바삭바삭한,,
맛났어요,,
서비스까지,,
적고,,
순식간에,,
딱딱해서,,
좋겠어요.,,
있음,,
있네요.,,
특유의,,
고추윙봉,,
고추치킨만,,
못먹는데,,
좋네요~,,
되어,,
고추치킨이랑,,
크크크소스가,,
아니지만,,
"빠르고,",,
바닥에,,
입에,,
매콤한게,,
혹시,,
요즘은,,
해주시고,,
똥집은,,
조아요,,
이미,,
감사합니다~~,,
먼저,,
여러,,
근처에,,
음식을,,
주는,,
ㅠㅜ,,
있습니다!,,
짱입니다,,
언제먹어도,,
전보다,,
퍽퍽한,,
사랑입니다,,
아무튼,,
지점,,
마니,,
남편이,,
좋아해요.,,
맛있어요!!!!!!,,
받았어요,,
오는데,,
요청했는데,,
진리,,
시켜먹습니다,,
날,,
두번,,
맛있게먹었습니다,,
상태가,,
그래두,,
별로네요,,
느끼한,,
간지윙봉,,
퍽퍽살이,,
최근에,,
맛있긴한데,,
배가,,
먹엇습니당,,
자극적인,,
비도,,
맛잇고,,
주고,,
굿굿굿,,
웨지,,
시켜요,,
왔어요!,,
걸린다고,,
들어주시고,,
상당히,,
최근,,
밖에,,
두개,,
달달,,
늦은,,
다른거,,
호랭이,,
입맛,,
콤보로,,
맛의,,
짜요,,
맛.,,
주문한지,,
만큼,,
비가와서,,
안매워서,,
들어서,,
고추치킨과,,
눅눅해져서,,
달라고,,
끝까지,,
크크크가,,
똥집튀김,,
냠냠,,
아쉬웠습니다,,
곳,,
맛있네요~^^,,
색다른,,
좋겠습니다.,,
시킬거,,
호불호가,,
깔끔해서,,
배달와서,,
배송빠르고,,
후기,,
당연히,,
주변에서,,
후라이드에,,
빼곤,,
먹기에도,,
간지반,,
윙봉세트,,
조각,,
다양한,,
고맙습니다,,
먹었었는데,,
하면,,
방금,,
식고,,
맛있었어용,,
그럭저럭,,
빠름,,
강해서,,
있습니다~,,
간지치킨을,,
많이파세요,,
뼈로,,
워낙,,
잘받았습니다,,
맛있어요ㅎㅎ,,
바삭하지,,
염지가,,
짜장,,
매운게,,
때마다,,
비오는데,,
더욱,,
겁나,,
와우,,
아주아주,,
전화해서,,
가루도,,
예정,,
감사합니다!!,,
감사합니당,,
가게,,
포테이토,,
좋아용,,
다른데,,
먹지만,,
못찍었네요.,,
개,,
따끈하게,,
나쁘지,,
주셨어요,,
",",,
푹,,
매우면,,
난,,
질기고,,
음,,
놓고,,
소리가,,
요,,
후라이드반,,
재주문의사,,
아예,,
호랑이치킨도,,
맞춰,,
누가,,
처럼,,
시즈닝,,
가루,,
부탁드렸는데,,
잘먹었어요~~,,
맛나네요~,,
그닥,,
사람들이,,
잘먹네요,,
맞고,,
너무맛있어서,,
아직,,
두가지,,
ㅎㅇ,,
너무너무너무,,
시켜먹을게요!,,
있어요!,,
순살을,,
애들은,,
야식으로,,
시켜먹다가,,
맛있었습니다~,,
먹으려고,,
있지만,,
친절한,,
빠져서,,
한동안,,
신제품,,
맛이에요.,,
부드러운,,
찍은,,
튀겨,,
튀김은,,
기름으로,,
순살인데,,
그런,,
빠진,,
시켜먹을께요,,
주세요,,
!!!!,,
