"동별(1)","항목",2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"서초구","등록외국인",4362,107,189,188,123,253,586,568,560,550,436,330,228,122,64,27,13,6,7,1,3,1,4414,124,187,179,131,280,564,580,588,574,428,314,225,120,61,25,16,6,7,1,3,1
"강남구","계",546291,12014,21019,30661,30990,29803,39663,41645,38244,49352,49708,49449,35771,32684,30021,21779,16459,9853,4798,1790,493,95,550282,12078,21041,30969,31056,29633,39666,41937,38439,49978,49882,49807,36535,32655,30369,22093,16802,10031,4896,1834,491,90
"강남구","한국인",540957,11963,20950,30601,30849,29195,38602,40748,37528,48852,49344,49145,35516,32548,29934,21735,16438,9846,4790,1787,492,94,544873,12030,20975,30906,30902,28998,38587,41044,37727,49465,49512,49496,36271,32526,30284,22048,16780,10024,4888,1831,490,89
"강남구","등록외국인",5334,51,69,60,141,608,1061,897,716,500,364,304,255,136,87,44,21,7,8,3,1,1,5409,48,66,63,154,635,1079,893,712,513,370,311,264,129,85,45,22,7,8,3,1,1
"송파구","계",661515,17866,26248,29337,28526,34930,51448,55796,51002,57697,50152,54312,47654,48942,41550,27388,18765,11513,5579,2195,517,98,660025,17603,25967,29246,28397,34441,51177,55839,50535,57824,49686,54262,47956,48198,42047,27622,19129,11602,5657,2215,531,91
"송파구","한국인",655744,17762,26107,29253,28439,34613,50795,55002,50212,57123,49700,53771,47034,48580,41388,27337,18742,11505,5574,2193,516,98,654166,17488,25826,29166,28287,34107,50512,55032,49757,57238,49225,53700,47334,47851,41887,27571,19105,11594,5652,2213,530,91
"송파구","등록외국인",5771,104,141,84,87,317,653,794,790,574,452,541,620,362,162,51,23,8,5,2,1,0,5859,115,141,80,110,334,665,807,778,586,461,562,622,347,160,51,24,8,5,2,1,-
"강동구","계",462453,13099,18237,19904,19061,23306,33949,35818,33787,40185,34964,37346,33764,37294,31566,20866,14342,8861,4117,1559,348,80,463318,12999,18070,19953,19085,23144,34110,35874,33769,40256,34825,37393,34208,36648,32131,21057,14611,8995,4182,1563,367,78
"강동구","한국인",458385,13027,18141,19813,18982,23079,33408,35278,33319,39802,34664,36923,33365,37019,31460,20822,14325,8859,4115,1557,348,79,459167,12920,17972,19859,19002,22892,33560,35330,33285,39872,34510,36962,33799,36389,32027,21014,14594,8994,4180,1562,367,77
"강동구","등록외국인",4068,72,96,91,79,227,541,540,468,383,300,423,399,275,106,44,17,2,2,2,0,1,4151,79,98,94,83,252,550,544,484,384,315,431,409,259,104,43,17,1,2,1,-,1
