No,region,store,dates,order_items,reviews,taste_score,quantity_score,delivery_score,,order_세분화1,order_세분화2,order_세분화3,order_세분화4,order_세분화5,order_세분화6,order_세분화7,order_세분화8,,순살 여부
32130,교촌치킨,독립문점,2023년 10월 03일,"허니순살/1,리얼후라이드/1",너무 맛있어요!!! 바덜도 빨리 와서 좋습니다.,5,5,5,,허니순살, 리얼후라이드,,,,,,,,0
32131,교촌치킨,독립문점,2023년 10월 03일,[기간한정]허니콤보＋레드볶음면/1(소스 및 무우(레드디핑소스)),허니콤보 맛있어용 담에 또 시켜먹을게용,5,5,5,,허니콤보,,,,,,,,,X
32132,교촌치킨,독립문점,2023년 10월 02일,[기간한정]허니콤보＋레드볶음면/1(반마리 추가(블랙시크릿순살[S])),너무 맛잇어요 ㅎㅎㅎ,5,5,5,,허니콤보, 블랙시크릿순살,,,,,,,,0
32133,교촌치킨,독립문점,2023년 10월 01일,"허니오리지날（한마리）/1,살살후라이드미니/1","외국인에게 너뮤 친철함 가계입니다. 
제가 한국어이 서투르지만 그래도 잘 배려해주셔서 너무 감사합니다!!! 배달속도가 너무 빨라서 좀 깜짝 놀랐어요ㅋㅋㅋ

親辜們，想點橋村炸雞的可以參考這家店喔，老闆和外送員人都非常好， 當天遇到假日飯店附近很多炸雞店都沒開，剛好這家還有營業而且送達時間也超級快。那天看時間要等50～55分鐘想說先點好了，結果20分鐘後就打電話來說可以送餐了，建議大家還是抵達住宿的地方後在點餐喔。",5,5,5,,허니오리지날, 살살후라이드,,,,,,,,X
32134,교촌치킨,독립문점,2023년 09월 30일,"허니콤보/1,코카콜라（1.25L）/1","교촌허니콤보는
언제나 진리입니다",5,5,5,,허니콤보,,,,,,,,,X
32135,교촌치킨,독립문점,2023년 09월 29일,"허니콤보/1(소스 및 무우(레드디핑소스)),웨지감자/1",짱 맛있아요!!!!!!!!!!!,5,5,5,,허니콤보, 사이드,,,,,,,,X
32136,교촌치킨,독립문점,2023년 09월 29일,허니순살/1,배달빠르고 너무 맛있습니다!!!,5,5,5,,허니순살,,,,,,,,,0
32137,교촌치킨,독립문점,2023년 09월 29일,반반콤보/1,배달 빠르고 좋아요!,5,5,5,,반반콤보,,,,,,,,,X
32138,교촌치킨,독립문점,2023년 09월 24일,레드오리지날（한마리）/1(소스 및 무우(무)),"❤️기사님 친절하세요🙂
❤️치킨도 맛있어요🙂
감사합니다😊❤️",5,5,5,,레드오리지날,,,,,,,,,X
32139,교촌치킨,독립문점,2023년 09월 23일,[기간한정]허니오리지날＋레드볶음면/1,맛있어요 감사합니다~,5,5,5,,허니오리지날,,,,,,,,,X
32140,교촌치킨,독립문점,2023년 09월 21일,반반콤보/1,교촌 반반콤보 잘 먹었습니다.,5,5,5,,반반콤보,,,,,,,,,X
32141,교촌치킨,독립문점,2023년 09월 20일,"교촌오리지날（한마리）/1,레드순살[S]/1,웨지감자/1",잘 먹었어요 ....,4,4,4,,오리지날, 레드순살, 사이드,,,,,,,0
32142,교촌치킨,독립문점,2023년 09월 12일,허니오리지날（한마리）/1,"저번 밤에 시켰을때는 튀김옷이 살짝 거뭇했는데
이번에는 잘 튀겨지고 양념도 잘 배어들어서 맛있게 잘 먹었습니다~~",5,5,5,,허니오리지날,,,,,,,,,X
32143,교촌치킨,독립문점,2023년 09월 08일,교촌오리지날（한마리）/1,맛있습니다 최고에요,5,5,5,,오리지날,,,,,,,,,X
32144,교촌치킨,독립문점,2023년 09월 02일,반반콤보/1,콤보반반 맛있게 먹었어요.,5,5,5,,반반콤보,,,,,,,,,X
32145,교촌치킨,독립문점,2023년 08월 31일,교촌윙[S]/1,맛있고 좋아요. 한끼 먹기 딱 좋아요.,5,5,0,,윙후라이드,,,,,,,,,X
32146,교촌치킨,독립문점,2023년 08월 24일,허니오리지날（한마리）/1,짱짱 맛있어요! 근데 배달비가..ㅠ,5,5,5,,허니오리지날,,,,,,,,,X
32147,교촌치킨,독립문점,2023년 08월 24일,반반콤보/1,잘 먹었지만 약간 느끼하네요,4,5,5,,반반콤보,,,,,,,,,X
32148,교촌치킨,독립문점,2023년 08월 20일,반반콤보/1,오랜만에 시켜봤습니다.,5,5,5,,반반콤보,,,,,,,,,X
32149,교촌치킨,독립문점,2023년 08월 14일,교촌오리지날（한마리）/1,자꾸 먹으면 안되는데 자꾸 시킴 ㅠㅠ 맛남,5,5,5,,오리지날,,,,,,,,,X
32150,교촌치킨,독립문점,2023년 08월 14일,교촌오리지날（한마리）/1,일주일에 두번 이상 먹는거 같아여 ㅠㅠ,5,5,5,,오리지날,,,,,,,,,X
