,ID,sentences,datetime
10,"이혜영@hiver48·Nov 17, 2022","이혜영 @hiver48 · 
             instagram.com instagram.com 이혜영 (@hiver48) • Instagram photo 이혜영 (@hiver48) • Instagram photo",2022-11-17T08:42:41.000Z
11,"이왕 먹는거 잘 먹자@gugu_mmz·Nov 14, 2022",이왕 먹는거 잘 먹자 @gugu_mmz ·  모르고 30분 다 타고나서 ㅉㄱ었는데 30분 뒤에 다시 인증하란다 ㅠㅠ 오늘 자전거 1시간이네 ㅠㅠ,2022-11-14T14:07:25.000Z
12,"이혜영@hiver48·Nov 7, 2022","이혜영 @hiver48 · 
  맛있게 먹을수 있는            instagram.com instagram.com 이혜영 (@hiver48) • Instagram photo 이혜영 (@hiver48) • Instagram photo",2022-11-07T06:44:15.000Z
13,"누룩 호주워홀준비@richnoorook·Nov 7, 2022","누룩  호주워홀준비 @richnoorook · 
주3회 블로그쓰기, 매일 휴대폰 5시간 이하 쓰기. 지속적으로 참여할만한 챌린지다!
각각 최대금액 20만원까지 넣었고, 확실히 실천하기 어려운 휴대폰 시간제한이 상금이 높다. 이번엔 진짜 많이 받았다! 얼른 상금 이체 받아야지. 2",2022-11-07T06:24:24.000Z
14,"다니찐이다@nrg4857·Nov 7, 2022","다니찐이다 @nrg4857 · 같이해주실분을 칮슺니다 내일부터시작
  ",2022-11-06T21:50:09.000Z
15,"야생화@fromwildflower·Nov 7, 2022","야생화 @fromwildflower ·  추천 
중앙일보 콘텐츠 앱 1개월 무료 이용권 증정+ 챌린저 85% 달성 시 아티클 무제한 열람 멤버십 무료 연장! 
챌린저스로 체험형으로 무료 인사이트 얻어가시오~~ 선착순 얼마 안남았어요! 고고 6 4",2022-11-06T15:23:45.000Z
16,"다니찐이다@nrg4857·Nov 2, 2022","다니찐이다 @nrg4857 · #신규
오늘내가만든 챌린저스 같이해주실분 ",2022-11-02T05:16:48.000Z
17,"누룩 호주워홀준비@richnoorook·Nov 1, 2022","누룩  호주워홀준비 @richnoorook · 
챌린저스는 이벤트 챌린지도 꼬옥 같이 해주면 되..
예치금 안 내고 1200원 벌었다.",2022-11-01T03:55:24.000Z
18,"이혜영@hiver48·Oct 29, 2022","이혜영 @hiver48 ·  

올게인 한스푼 + 아몬드브리즈 + 그레놀라 와 함께 고구마 같이 먹으니까 맛있어요
                   instagram.com instagram.com 이혜영 (@hiver48) • Instagram photo 이혜영 (@hiver48) • Instagram photo",2022-10-29T06:31:09.000Z
19,"누룩 호주워홀준비@richnoorook·Oct 24, 2022","누룩  호주워홀준비 @richnoorook · 
2주동안 매일 블로그 글쓰고 매일 휴대폰 5시간 이하로 썼다.
휴대폰 5시간 이하로 쓰니까 내 시간에 집중하게 되고 넘 좋아서 추가로 신청했다.
블로그는 1일 1포스팅에 대한 강박에 내가 꽤 스트레스를 받고 있어서 오늘부터는 주 3일 포스팅 챌린지로 신청했다. 1 5 21",2022-10-24T14:22:54.000Z
