word,freq
최신,36
아침잠,36
달성해야,36
무기력증,36
주네요,36
하자고,36
에,36
포기하게,36
잃,36
안열리고,36
다음날,35
못하,35
모르겠,35
문의하라,35
사랑,35
떨어,35
업그레이드,35
소용,35
넘어가,35
싶고,35
버젼,35
일차,35
백그라운드,35
저절,35
백업,35
될까,35
요ㅠ,35
입,35
만족스럽습니다,35
읽게,35
읽기,35
앱오류,35
지키,35
드,35
이러고,35
특정,35
실천력,35
느끼,35
비교적,35
무효,35
주위,35
값진,35
불필요,35
좋았고,35
부모님,35
영어공부,35
초심,35
대기,35
오기,35
정상적,35
많아져,35
하게되,35
몇달째,35
년간,35
게으르고,35
누군,35
등록해,35
미래,35
같지,35
시경,35
달라졌어,35
판매,35
제안,35
맞지,35
하더니,35
못했습니다,35
믿고,35
째,35
움직,35
모르겠네,34
이름,34
옆,34
삭제했다,34
돌아가,34
유튜브,34
지네,34
카운트,34
기분이,34
지워,34
대,34
받게,34
질문,34
사람한테,34
감사하겠습니다,34
마르고,34
버벅거림,34
그렇다,34
시간안,34
해주셨음,34
추후,34
아닌지,34
모양,34
인터넷,34
설치했습니다,34
신속하게,34
알게되어,34
높아져,34
활용해,34
초짜리,34
그제서야,34
끈기,34
사용하지,34
아깝지,34
즐거움,34
몇일,34
도저,34
여러모,34
이루,34
광고성,34
주시니,34
나태하게,34
육아,34
어갈,34
자격증,34
어가,34
넘어가질,34
들어갔다,34
종료돼,34
주씩,34
느낍니다,34
가계부,34
좋아지,34
챌린지가,34
목표관리,34
꼭,34
힘들지,34
챌린저스어플,34
달성했을때,34
확신,34
터치해야,34
나태해져,34
알차고,34
캐시삭제,34
건강식품,34
앉아,34
익숙해지면,34
나태했던,34
기르기,34
꾸역꾸역,34
친절,33
짜증나게,33
뜨지,33
좋은데,33
남았는지,33
노래,33
써본,33
도,33
반영해,33
배너,33
쓴,33
마시고,33
좋을것,33
떨어지고,33
올려,33
해줘야,33
단점인,33
차차,33
특성상,33
부지런해진,33
닫고,33
보상금,33
방장,33
네트워크,33
해주던지,33
제폰,33
상자,33
무겁고,33
큽니다,33
몰려,33
키울,33
측면,33
높아지고,33
느린,33
인증하게,33
소확행,33
기술적인,33
배열,33
걸립니다,33
실천하지,33
기쁨,33
딱인,33
구매하지,33
마감시간,33
왜이리,33
쓰시,33
뒤늦게,33
본래,33
방학,33
클릭해,33
보내다,33
접하게,33
대기화면,33
안보이는,33
무기력함,33
계좌이체,33
뿌듯했습니다,33
하늘보기,33
장소,33
짧지,33
서좋아,33
출근전,33
무려,33
찍은사진,33
켜져,33
지연,33
어떤건,33
이내,33
분간,33
ㅠㅠㅠㅠㅠ,33
참여해,33
경험치,33
만보기혜택,33
참가해,33
후방카메라,33
게시물,33
저렴하게,33
트레이너,32
작년,32
전부,32
썼는,32
됨,32
재밌어,32
오전,32
운동하게,32
트,32
잦은,32
칸,32
개선해주세,32
좋게,32
먹었는지,32
모드,32
새로고침,32
어떡,32
감사드립니다,32
정당하게,32
었다,32
많아진,32
들어갔을때,32
유일하게,32
본전,32
이용중이,32
그러다보면,32
만족합니당,32
먀우,32
날렸습니다,32
뜨니,32
느린건,32
없어졌으면,32
같으니,32
인증화면,32
깔아놓고,32
많은데,32
이해하,32
만오천보,32
머리,32
달성률,32
노트,32
하늘,32
경기,32
운동기록,31
사용했,31
유료,31
추천해주고,31
상세,31
않아요,31
괜,31
페이스북,31
억지로,31
나오는게,31
채팅방,31
계산,31
연동기능,31
올릴,31
살짝,31
올라,31
컨디션,31
습관생성,31
모호해지고,31
하지않는,31
손해인것같아,31
사용빈도,31
뒷전인,31
멀어지고,31
중복입금건,31
가없네요ㅋㅋ,31
안내없,31
반환요청,31
드린다는건,31
협박인가,31
무성의함,31
느껴왔었는,31
실망스럽네,31
이용해온,31
